image,image_path,text,bbox,ocr_confidence,rule_hits,top_rule_category,top_rule_match_mode,grammar_issue_count,grammar_matches,llm_verdict,llm_reason,suggestion,priority,score,repeated_count
000011.png,screen_shot\阶段12：其他\000011.png,14:37,"[50, 40, 171, 74]",0.9870344996452332,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
000011.png,screen_shot\阶段12：其他\000011.png,Message notifications,"[200, 125, 519, 157]",0.9945799708366394,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
000011.png,screen_shot\阶段12：其他\000011.png,Can't connect to Internet,"[187, 800, 533, 833]",0.9539238214492798,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
000011.png,screen_shot\阶段12：其他\000011.png,No messages,"[269, 855, 449, 889]",0.9820815920829773,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,16:16,"[118, 67, 322, 124]",0.9905649423599243,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,17,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,XootGo,"[480, 201, 725, 267]",0.994210958480835,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Quito'}, {'value': 'Outgo'}], 'offset': 0, 'length': 6, 'context': {'text': 'XootGo', 'offset': 0, 'length': 6}, 'sentence': 'XootGo', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,37,5
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Basic Tutorial,"[45, 490, 467, 551]",0.992996871471405,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,17,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,More,"[1041, 502, 1141, 543]",0.9992767572402954,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Falcon,"[45, 631, 192, 672]",0.999127209186554,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Chameleon,"[247, 628, 503, 671]",0.9995949268341064,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,15,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Gimbal,"[559, 626, 721, 672]",0.9986693263053894,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Gimbals'}], 'offset': 0, 'length': 6, 'context': {'text': 'Gimbal', 'offset': 0, 'length': 6}, 'sentence': 'Gimbal', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,21,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,XootGo,"[641, 763, 690, 784]",0.9570407867431641,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Quito'}, {'value': 'Outgo'}], 'offset': 0, 'length': 6, 'context': {'text': 'XootGo', 'offset': 0, 'length': 6}, 'sentence': 'XootGo', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,33,5
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,botGoChomeleon Mo.,"[738, 865, 854, 875]",0.9126940965652466,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [], 'offset': 0, 'length': 14, 'context': {'text': 'botGoChomeleon Mo.', 'offset': 0, 'length': 14}, 'sentence': 'botGoChomeleon Mo.', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,21,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,XootGo,"[629, 999, 717, 1026]",0.9940140843391418,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Quito'}, {'value': 'Outgo'}], 'offset': 0, 'length': 6, 'context': {'text': 'XootGo', 'offset': 0, 'length': 6}, 'sentence': 'XootGo', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,33,5
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,ChameleonTu,"[47, 1062, 348, 1103]",0.9864572882652283,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Chameleon Tu'}], 'offset': 0, 'length': 11, 'context': {'text': 'ChameleonTu', 'offset': 0, 'length': 11}, 'sentence': 'ChameleonTu', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,21,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,ting Tutorial,"[850, 1059, 1103, 1110]",0.9858664274215698,[],,,1,"[{'message': 'This sentence does not start with an uppercase letter.', 'shortMessage': 'Capitalization', 'replacements': [{'value': 'Ting'}], 'offset': 0, 'length': 4, 'context': {'text': 'ting Tutorial', 'offset': 0, 'length': 4}, 'sentence': 'ting Tutorial', 'type': {'typeName': 'Other'}, 'rule': {'id': 'UPPERCASE_SENTENCE_START', 'description': 'Checks that a sentence starts with an uppercase letter', 'issueType': 'typographical', 'urls': [{'value': 'https://languagetool.org/insights/post/spelling-capital-letters/'}], 'category': {'id': 'CASING', 'name': 'Capitalization'}}, 'ignoreForIncompleteSentence': True, 'contextForSureMatch': -1}]",acceptable_but_unnatural,Ollama disabled,,P2,24,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,XootCo,"[68, 1179, 115, 1194]",0.8788583278656006,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Costco'}, {'value': 'Quito'}, {'value': 'Hootch'}], 'offset': 0, 'length': 6, 'context': {'text': 'XootCo', 'offset': 0, 'length': 6}, 'sentence': 'XootCo', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,21,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Falcon connected,"[387, 1168, 815, 1224]",0.9976925253868103,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,17,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,meloon Tutoricil,"[179, 1171, 260, 1184]",0.8969576954841614,[],,,2,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Mellon'}, {'value': 'Melton'}, {'value': 'Melon'}, {'value': 'Meldon'}, {'value': 'Me loon'}], 'offset': 0, 'length': 6, 'context': {'text': 'meloon Tutoricil', 'offset': 0, 'length': 6}, 'sentence': 'meloon Tutoricil', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}, {'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Tutorial'}], 'offset': 7, 'length': 9, 'context': {'text': 'meloon Tutoricil', 'offset': 7, 'length': 9}, 'sentence': 'meloon Tutoricil', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,27,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,successfully,"[447, 1235, 754, 1297]",0.9997008442878723,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,17,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,Can't connect to lnternet,"[316, 1347, 900, 1395]",0.9466935992240906,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Internet'}, {'value': 'internet'}], 'offset': 17, 'length': 8, 'context': {'text': ""Can't connect to lnternet"", 'offset': 17, 'length': 8}, 'sentence': ""Can't connect to lnternet"", 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,21,1
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,XootGo,"[54, 1413, 145, 1442]",0.9930385947227478,[],,,1,"[{'message': 'Possible spelling mistake found.', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Quito'}, {'value': 'Outgo'}], 'offset': 0, 'length': 6, 'context': {'text': 'XootGo', 'offset': 0, 'length': 6}, 'sentence': 'XootGo', 'type': {'typeName': 'UnknownWord'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}, 'ignoreForIncompleteSentence': False, 'contextForSureMatch': 0}]",acceptable_but_unnatural,Ollama disabled,,P2,33,5
20260409-161757.png,screen_shot\阶段12：其他\20260409-161757.png,YouTube Live Streaming,"[42, 1473, 549, 1525]",0.9884806275367737,[],,,0,[],acceptable_but_unnatural,Ollama disabled,,P2,17,1
